
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
1,2011,15,2011-12-24,25-217,SEA,,SFO,L 17-19,2,1,44,44.00,0,0,0,,0,0,0,0.0,0,0
2,2011,16,2012-01-01,25-225,SEA,@,ARI,L 20-23,2,1,61,61.00,1,0,0,,0,1,6,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
3,2013,9,2013-11-03,27-166,SEA,,TAM,W 27-24,1,1,5,5.00,0,0,0,,0,0,0,0.0,0,0
4,2013,10,2013-11-10,27-173,SEA,@,ATL,W 33-10,1,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2013,11,2013-11-17,27-180,SEA,,MIN,W 41-20,1,1,27,27.00,0,0,0,,0,0,0,0.0,0,0
6,2013,12,2013-12-02,27-195,SEA,,NOR,W 34-7,1,1,33,33.00,0,1,-2,-2.00,0,0,0,0.0,0,0
7,2013,13,2013-12-08,27-201,SEA,@,SFO,L 17-19,,,,,,,,,,,,,,
8,2013,14,2013-12-15,27-208,SEA,@,NYG,W 23-0,1,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2013,15,2013-12-22,27-215,SEA,,ARI,L 10-17,1,1,9,9.00,0,0,0,,0,0,0,0.0,0,0
10,2013,16,2013-12-29,27-222,SEA,,STL,W 27-9,1,1,8,8.00,0,0,0,,0,0,0,0.0,2,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
11,2014,1,2014-09-04,28-106,SEA,,GNB,W 36-16,3,2,38,19.00,1,0,0,,0,1,6,0.0,0,0
12,2014,2,2014-09-14,28-116,SEA,@,SDG,L 21-30,1,0,0,,0,1,2,2.00,0,0,0,0.0,1,0
13,2014,3,2014-09-21,28-123,SEA,,DEN,W 26-20,1,1,39,39.00,1,0,0,,0,1,6,0.0,1,0
14,2014,4,2014-10-06,28-138,SEA,@,WAS,W 27-17,,0,0,,0,0,0,,0,0,0,0.0,0,1
15,2014,5,2014-10-12,28-144,SEA,,DAL,L 23-30,1,1,8,8.00,0,0,0,,0,0,0,0.0,0,0
16,2014,6,2014-10-19,28-151,SEA,@,STL,L 26-28,,0,0,,0,0,0,,0,0,0,0.0,1,0
17,2014,7,2014-10-26,28-158,SEA,@,CAR,W 13-9,2,2,22,11.00,0,0,0,,0,0,0,0.0,0,0
18,2014,8,2014-11-02,28-165,SEA,,OAK,W 30-24,1,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2014,9,2014-11-09,28-172,SEA,,NYG,W 38-17,2,1,16,16.00,0,0,0,,0,0,0,0.0,0,0
20,2014,10,2014-11-16,28-179,SEA,@,KAN,L 20-24,0,,,,,,,,,,,,,
21,2014,11,2014-11-23,28-186,SEA,,ARI,W 19-3,1,1,48,48.00,0,0,0,,0,0,0,0.0,0,0
22,2014,12,2014-11-27,28-190,SEA,@,SFO,W 19-3,0,0,0,,0,0,0,,0,0,0,0.0,2,0
23,2014,13,2014-12-07,28-200,SEA,@,PHI,W 24-14,1,1,19,19.00,0,0,0,,0,0,0,0.0,0,0
24,2014,14,2014-12-14,28-207,SEA,,SFO,W 17-7,0,,,,,,,,,,,,,
25,2014,15,2014-12-21,28-214,SEA,@,ARI,W 35-6,2,2,5,2.50,0,0,0,,0,0,0,0.0,0,0
26,2014,16,2014-12-28,28-221,SEA,,STL,W 20-6,0,,,,,,,,,,,,,
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts,Sk,Tkl,Ast
27,2015,1,2015-09-13,29-115,SEA,@,STL,L 31-34,0,0,0,,0,0,0,,0,0,0,0.0,0,0
28,2015,2,2015-09-20,29-122,SEA,@,GNB,L 17-27,0,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2015,3,2015-09-27,29-129,SEA,,CHI,W 26-0,2,1,23,23.00,0,0,0,,0,0,0,0.0,0,0
30,2015,4,2015-10-05,29-137,SEA,,DET,W 13-10,0,0,0,,0,0,0,,0,0,0,0.0,0,0
31,2015,5,2015-10-11,29-143,SEA,@,CIN,L 24-27,0,0,0,,0,0,0,,0,0,0,0.0,0,0
32,2015,6,2015-10-18,29-150,SEA,,CAR,L 23-27,2,2,43,21.50,1,0,0,,0,1,6,0.0,0,0
33,2015,7,2015-10-22,29-154,SEA,@,SFO,W 20-3,1,0,0,,0,0,0,,0,0,0,0.0,0,0
34,2015,8,2015-11-01,29-164,SEA,@,DAL,W 13-12,2,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
,,,34 Games,,,,,22-12-0,33,22,451,20.50,4,2,0,0.00,0,4,24,0.0,7,1
