
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
1,2011,1,2011-09-11,22-355,SEA,@,SFO,L 17-33,6,4,83,20.75,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
2,2011,2,2011-09-18,22-362,SEA,@,PIT,L 0-24,2,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2011,3,2011-09-25,23-004,SEA,,ARI,W 13-10,4,2,23,11.50,0,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0,0.0,1,0
4,2011,4,2011-10-02,23-011,SEA,,ATL,L 28-30,6,5,84,16.80,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2011,5,2011-10-09,23-018,SEA,@,NYG,W 36-25,9,8,136,17.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
6,2011,6,2011-10-23,23-032,SEA,@,CLE,L 3-6,3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2011,7,2011-10-30,23-039,SEA,,CIN,L 12-34,8,5,73,14.60,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2011,8,2011-11-06,23-046,SEA,@,DAL,L 13-23,6,3,31,10.33,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
9,2011,9,2011-11-13,23-053,SEA,,BAL,W 22-17,3,1,50,50.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2011,10,2011-11-20,23-060,SEA,@,STL,W 24-7,5,3,60,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2011,11,2011-11-27,23-067,SEA,,WAS,L 17-23,10,5,60,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2011,12,2011-12-01,23-071,SEA,,PHI,W 31-14,2,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2011,13,2011-12-12,23-082,SEA,,STL,W 30-13,8,7,93,13.29,1,0,0,,0,1,37,37.00,0,0,0,,0,1,6,0.0,0,0
14,2011,14,2011-12-18,23-088,SEA,@,CHI,W 38-14,2,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2011,15,2011-12-24,23-094,SEA,,SFO,L 17-19,7,2,17,8.50,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
16,2011,16,2012-01-01,23-102,SEA,@,ARI,L 20-23,4,3,40,13.33,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
17,2012,1,2012-09-09,23-354,SEA,@,ARI,L 16-20,6,2,5,2.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2012,2,2012-09-16,23-361,SEA,,DAL,W 27-7,1,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2012,4,2012-09-30,24-009,SEA,@,STL,L 13-19,3,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2012,5,2012-10-07,24-016,SEA,@,CAR,W 16-12,4,3,37,12.33,0,0,0,,0,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
21,2012,6,2012-10-14,24-023,SEA,,NWE,W 24-23,3,2,74,37.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
22,2012,7,2012-10-18,24-027,SEA,@,SFO,L 6-13,2,2,15,7.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2012,9,2012-11-04,24-044,SEA,,MIN,W 30-20,3,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
