
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
15,2006,1,2006-09-10,23-093,CLE,,NOR,L 14-19,0,0,,0,2,0,0,,0,0,0,,0,0,0,,,,5,114,22.80,0,0,0,,0,0,0,0.0,0,0
16,2006,2,2006-09-17,23-100,CLE,@,CIN,L 17-34,0,0,,0,1,1,11,11.00,0,0,0,,0,0,0,,,,5,109,21.80,0,0,0,,0,0,0,0.0,0,0
17,2006,3,2006-09-24,23-107,CLE,,BAL,L 14-15,0,0,,0,1,1,6,6.00,0,0,0,,0,0,0,,,,2,48,24.00,0,0,0,,0,0,0,0.0,0,0
18,2006,4,2006-10-01,23-114,CLE,@,OAK,W 24-21,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,2,118,59.00,0,0,0,,0,0,0,0.0,0,0
19,2006,5,2006-10-08,23-121,CLE,@,CAR,L 12-20,0,0,,0,2,2,18,9.00,0,0,0,,0,0,0,,,,4,119,29.75,0,2,43,21.50,0,0,0,0.0,0,0
20,2006,6,2006-10-22,23-135,CLE,,DEN,L 7-17,0,0,,0,5,4,32,8.00,0,0,0,,0,0,0,,,,3,94,31.33,0,2,2,1.00,0,0,0,0.0,0,0
21,2006,7,2006-10-29,23-142,CLE,,NYJ,W 20-13,0,0,,0,1,1,14,14.00,0,0,0,,0,0,0,,,,3,62,20.67,0,1,1,1.00,0,0,0,0.0,0,0
22,2006,8,2006-11-05,23-149,CLE,@,SDG,L 25-32,0,0,,0,1,0,0,,0,0,0,,0,0,0,,,,4,111,27.75,0,0,0,,0,0,0,0.0,0,0
23,2006,9,2006-11-12,23-156,CLE,@,ATL,W 17-13,0,0,,0,1,1,10,10.00,0,0,0,,0,0,0,,,,3,56,18.67,0,0,0,,0,0,0,0.0,0,0
24,2006,10,2006-11-19,23-163,CLE,,PIT,L 20-24,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,4,150,37.50,1,0,0,,0,1,6,0.0,0,0
25,2006,11,2006-11-26,23-170,CLE,,CIN,L 0-30,0,0,,0,1,0,0,,0,0,0,,0,0,0,,,,5,108,21.60,0,0,0,,0,0,0,0.0,0,0
26,2006,12,2006-12-03,23-177,CLE,,KAN,W 31-28,1,9,9.00,0,0,0,0,,0,0,0,,0,0,0,,,,4,87,21.75,0,0,0,,0,0,0,0.0,0,0
27,2006,13,2006-12-07,23-181,CLE,@,PIT,L 7-27,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,5,76,15.20,0,0,0,,0,0,0,0.0,0,0
28,2006,14,2006-12-17,23-191,CLE,@,BAL,L 17-27,0,0,,0,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,5,94,18.80,0,0,0,,0,0,0,0.0,0,0
29,2006,15,2006-12-24,23-198,CLE,,TAM,L 7-22,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,4,79,19.75,0,0,0,,0,0,0,0.0,0,0
30,2006,16,2006-12-31,23-205,CLE,@,HOU,L 6-14,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0,,,,3,69,23.00,0,1,5,5.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
31,2007,1,2007-09-09,24-092,CLE,,PIT,L 7-34,0,0,,0,1,1,7,7.00,0,0,0,,0,0,0,,,,4,98,24.50,0,0,0,,0,0,0,0.0,0,0
32,2007,2,2007-09-16,24-099,CLE,,CIN,W 51-45,1,11,11.00,0,0,0,0,,0,0,0,,0,0,0,,,,5,183,36.60,0,2,11,5.50,0,0,0,0.0,0,0
33,2007,3,2007-09-23,24-106,CLE,@,OAK,L 24-26,1,7,7.00,0,0,0,0,,0,0,0,,0,0,0,,,,4,174,43.50,1,1,22,22.00,0,1,6,0.0,0,0
34,2007,4,2007-09-30,24-113,CLE,,BAL,W 27-13,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0,,,,3,94,31.33,0,0,0,,0,0,0,0.0,0,0
35,2007,5,2007-10-07,24-120,CLE,@,NWE,L 17-34,1,11,11.00,0,0,0,0,,0,0,0,,0,0,0,,,,5,118,23.60,0,1,11,11.00,0,0,0,0.0,0,0
36,2007,6,2007-10-14,24-127,CLE,,MIA,W 41-31,1,4,4.00,0,0,0,0,,0,0,0,,0,0,0,,,,5,141,28.20,0,2,19,9.50,0,0,0,0.0,0,0
37,2007,7,2007-10-28,24-141,CLE,@,STL,W 27-20,1,18,18.00,0,1,0,0,,0,0,0,,0,0,0,,,,2,57,28.50,0,1,18,18.00,0,0,0,0.0,0,0
38,2007,8,2007-11-04,24-148,CLE,,SEA,W 33-30,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,6,161,26.83,0,1,18,18.00,0,0,0,0.0,0,0
39,2007,9,2007-11-11,24-155,CLE,@,PIT,L 28-31,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,4,204,51.00,1,4,19,4.75,0,1,6,0.0,0,0
40,2007,10,2007-11-18,24-162,CLE,@,BAL,W 33-30,1,3,3.00,0,0,0,0,,0,0,0,,0,0,0,,,,7,245,35.00,0,4,61,15.25,0,0,0,0.0,0,0
41,2007,11,2007-11-25,24-169,CLE,,HOU,W 27-17,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,2,54,27.00,0,2,21,10.50,0,0,0,0.0,0,0
42,2007,12,2007-12-02,24-176,CLE,@,ARI,L 21-27,1,1,1.00,0,0,0,0,,0,0,0,,0,0,0,,,,3,31,10.33,0,2,31,15.50,0,0,0,0.0,0,0
43,2007,13,2007-12-09,24-183,CLE,@,NYJ,W 24-18,1,4,4.00,0,2,1,18,18.00,0,0,0,,0,0,0,,,,2,51,25.50,0,2,7,3.50,0,0,0,0.0,0,0
44,2007,14,2007-12-16,24-190,CLE,,BUF,W 8-0,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,1,26,26.00,0,2,5,2.50,0,0,0,0.0,0,0
45,2007,15,2007-12-23,24-197,CLE,@,CIN,L 14-19,0,0,,0,1,1,12,12.00,0,0,0,,0,0,0,,,,4,115,28.75,0,2,27,13.50,0,0,0,0.0,0,0
46,2007,16,2007-12-30,24-204,CLE,,SFO,W 20-7,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,2,57,28.50,0,4,135,33.75,1,1,6,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
47,2008,2,2008-09-14,25-097,CLE,,PIT,L 6-10,1,5,5.00,0,1,0,0,,0,0,0,,0,0,0,,,,1,22,22.00,0,5,44,8.80,0,0,0,0.0,0,0
48,2008,3,2008-09-21,25-104,CLE,@,BAL,L 10-28,0,0,,0,2,1,17,17.00,0,0,0,,0,0,0,,,,3,52,17.33,0,2,24,12.00,0,0,0,0.0,0,0
49,2008,4,2008-09-28,25-111,CLE,@,CIN,W 20-12,1,0,0.00,0,1,0,0,,0,0,0,,0,0,0,,,,1,44,44.00,0,2,10,5.00,0,0,0,0.0,0,0
50,2008,5,2008-10-13,25-126,CLE,,NYG,W 35-14,1,12,12.00,0,0,0,0,,0,0,0,,0,0,0,,,,1,22,22.00,0,1,3,3.00,0,0,0,0.0,0,0
51,2008,6,2008-10-19,25-132,CLE,@,WAS,L 11-14,1,2,2.00,0,2,1,1,1.00,1,0,0,,0,0,0,,,,2,46,23.00,0,5,48,9.60,0,1,6,0.0,0,1
52,2008,7,2008-10-26,25-139,CLE,@,JAX,W 23-17,0,0,,0,1,0,0,,0,0,0,,0,0,0,,,,3,78,26.00,0,1,5,5.00,0,0,0,0.0,0,0
53,2008,8,2008-11-02,25-146,CLE,,BAL,L 27-37,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,7,237,33.86,1,3,41,13.67,0,1,6,0.0,0,0
54,2008,9,2008-11-06,25-150,CLE,,DEN,L 30-34,3,48,16.00,0,0,0,0,,0,0,0,,0,0,0,,,,5,135,27.00,0,1,5,5.00,0,0,0,0.0,0,0
55,2008,10,2008-11-17,25-161,CLE,@,BUF,W 29-27,1,2,2.00,1,0,0,0,,0,0,0,,0,0,0,,,,3,64,21.33,0,0,0,,0,1,6,0.0,0,0
56,2008,11,2008-11-23,25-167,CLE,,HOU,L 6-16,2,6,3.00,0,0,0,0,,0,0,0,,0,0,0,,,,4,104,26.00,0,2,10,5.00,0,0,0,0.0,0,2
57,2008,12,2008-11-30,25-174,CLE,,IND,L 6-10,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0,,,,3,61,20.33,0,0,0,,0,0,0,0.0,0,0
58,2008,13,2008-12-07,25-181,CLE,@,TEN,L 9-28,6,24,4.00,0,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,4,105,26.25,0,2,20,10.00,0,0,0,0.0,0,1
59,2008,14,2008-12-15,25-189,CLE,@,PHI,L 10-30,5,25,5.00,0,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,3,63,21.00,0,0,0,,0,0,0,0.0,0,0
60,2008,15,2008-12-21,25-195,CLE,,CIN,L 0-14,5,36,7.20,0,0,0,0,,0,0,0,,0,0,0,,,,1,24,24.00,0,3,12,4.00,0,0,0,0.0,0,0
61,2008,16,2008-12-28,25-202,CLE,@,PIT,L 0-31,2,7,3.50,0,0,0,0,,0,1,2,50.00,8,0,0,60.4,4.00,4.00,3,53,17.67,0,1,6,6.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
62,2009,1,2009-09-13,26-096,CLE,,MIN,L 20-34,3,6,2.00,0,3,2,10,5.00,0,0,0,,0,0,0,,,,6,140,23.33,0,3,67,22.33,1,1,6,0.0,0,0
63,2009,2,2009-09-20,26-103,CLE,@,DEN,L 6-27,1,4,4.00,0,7,5,22,4.40,0,0,0,,0,0,0,,,,3,60,20.00,0,2,24,12.00,0,0,0,0.0,0,0
64,2009,3,2009-09-27,26-110,CLE,@,BAL,L 3-34,0,0,,0,2,1,2,2.00,0,0,0,,0,0,0,,,,6,159,26.50,0,2,26,13.00,0,0,0,0.0,0,0
65,2009,4,2009-10-04,26-117,CLE,,CIN,L 20-23,1,15,15.00,0,2,1,5,5.00,0,0,0,,0,0,0,,,,3,103,34.33,0,6,120,20.00,0,0,0,0.0,0,0
66,2009,5,2009-10-11,26-124,CLE,@,BUF,W 6-3,1,31,31.00,0,2,0,0,,0,0,0,,0,0,0,,,,2,60,30.00,0,3,23,7.67,0,0,0,0.0,0,0
67,2009,6,2009-10-18,26-131,CLE,@,PIT,L 14-27,6,45,7.50,0,1,0,0,,0,0,2,0.00,0,0,1,0.0,0.00,-22.50,3,132,44.00,1,1,26,26.00,0,1,6,0.0,0,0
68,2009,7,2009-10-25,26-138,CLE,,GNB,L 3-31,1,1,1.00,0,2,1,-1,-1.00,0,0,0,,0,0,0,,,,2,69,34.50,0,1,9,9.00,0,0,0,0.0,0,1
69,2009,8,2009-11-01,26-145,CLE,@,CHI,L 6-30,6,28,4.67,0,1,1,23,23.00,0,0,0,,0,0,0,,,,6,137,22.83,0,0,0,,0,0,0,0.0,0,0
70,2009,9,2009-11-16,26-160,CLE,,BAL,L 0-16,6,34,5.67,0,7,1,10,10.00,0,0,0,,0,0,0,,,,3,63,21.00,0,5,18,3.60,0,0,0,0.0,0,0
71,2009,10,2009-11-22,26-166,CLE,@,DET,L 37-38,4,16,4.00,0,2,2,39,19.50,1,0,0,,0,0,0,,,,3,54,18.00,0,1,3,3.00,0,1,6,0.0,0,0
72,2009,11,2009-11-29,26-173,CLE,@,CIN,L 7-16,1,0,0.00,0,4,3,7,2.33,0,1,1,100.00,18,0,0,118.7,18.00,18.00,2,38,19.00,0,0,0,,0,0,0,0.0,0,0
73,2009,12,2009-12-06,26-180,CLE,,SDG,L 23-30,4,38,9.50,0,1,1,6,6.00,0,0,0,,0,0,0,,,,6,148,24.67,0,1,0,0.00,0,0,0,0.0,0,0
74,2009,13,2009-12-10,26-184,CLE,,PIT,W 13-6,8,87,10.88,0,1,1,9,9.00,0,0,0,,0,0,0,,,,2,43,21.50,0,2,61,30.50,0,0,0,0.0,0,0
75,2009,14,2009-12-20,26-194,CLE,@,KAN,W 41-34,3,8,2.67,0,1,1,3,3.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,6,269,44.83,2,4,36,9.00,0,2,12,0.0,0,0
76,2009,15,2009-12-27,26-201,CLE,,OAK,W 23-9,4,21,5.25,0,1,0,0,,0,0,0,,0,0,0,,,,1,27,27.00,0,4,21,5.25,0,0,0,0.0,0,0
77,2009,16,2010-01-03,26-208,CLE,,JAX,W 23-17,6,47,7.83,1,0,0,0,,0,0,0,,0,0,0,,,,2,40,20.00,0,3,18,6.00,0,1,6,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
78,2010,1,2010-09-12,27-095,CLE,@,TAM,L 14-17,3,11,3.67,0,2,2,11,5.50,0,1,1,100.00,9,0,0,104.2,9.00,9.00,3,46,15.33,0,3,29,9.67,0,0,0,0.0,0,0
79,2010,2,2010-09-19,27-102,CLE,,KAN,L 14-16,1,1,1.00,0,5,3,74,24.67,1,0,0,,0,0,0,,,,1,19,19.00,0,1,5,5.00,0,1,6,0.0,0,0
80,2010,3,2010-09-26,27-109,CLE,@,BAL,L 17-24,2,20,10.00,0,8,5,58,11.60,0,0,0,,0,0,0,,,,2,47,23.50,0,1,0,0.00,0,0,0,0.0,0,0
81,2010,4,2010-10-03,27-116,CLE,,CIN,W 23-20,3,9,3.00,0,4,2,24,12.00,0,0,0,,0,0,0,,,,5,107,21.40,0,0,0,,0,0,0,0.0,0,0
82,2010,5,2010-10-10,27-123,CLE,,ATL,L 10-20,2,11,5.50,0,5,1,8,8.00,0,1,1,100.00,10,0,0,108.3,10.00,10.00,3,64,21.33,0,1,3,3.00,0,0,0,0.0,0,0
83,2010,6,2010-10-17,27-130,CLE,@,PIT,L 10-28,2,1,0.50,0,1,0,0,,0,0,0,,0,0,0,,,,1,26,26.00,0,0,0,,0,0,0,0.0,0,0
84,2010,7,2010-10-24,27-137,CLE,@,NOR,W 30-17,0,0,,0,1,1,10,10.00,0,0,0,,0,0,0,,,,3,68,22.67,0,3,40,13.33,0,0,0,0.0,0,0
85,2010,8,2010-11-07,27-151,CLE,,NWE,W 34-14,2,2,1.00,0,3,2,13,6.50,0,0,0,,0,0,0,,,,2,51,25.50,0,2,18,9.00,0,0,0,0.0,0,0
86,2010,9,2010-11-14,27-158,CLE,,NYJ,L 20-26,1,14,14.00,0,1,1,37,37.00,0,0,0,,0,0,0,,,,1,11,11.00,0,0,0,,0,0,0,0.0,0,0
87,2010,11,2010-11-28,27-172,CLE,,CAR,W 24-23,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,4,89,22.25,0,3,25,8.33,0,0,0,0.0,0,0
88,2010,12,2010-12-05,27-179,CLE,@,MIA,W 13-10,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,2,50,25.00,0,2,13,6.50,0,0,0,0.0,0,0
89,2010,13,2010-12-12,27-186,CLE,@,BUF,L 6-13,1,-11,-11.00,0,1,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,1,7,7.00,0,0,0,0.0,0,0
90,2010,14,2010-12-19,27-193,CLE,@,CIN,L 17-19,0,0,,0,2,1,4,4.00,0,0,0,,0,0,0,,,,5,87,17.40,0,0,0,,0,0,0,0.0,0,0
91,2010,15,2010-12-26,27-200,CLE,,BAL,L 10-20,2,8,4.00,0,2,1,9,9.00,0,0,0,,0,0,0,,,,5,126,25.20,0,2,17,8.50,0,0,0,0.0,0,0
92,2010,16,2011-01-02,27-207,CLE,,PIT,L 9-41,1,0,0.00,0,4,3,37,12.33,0,0,1,0.00,0,0,0,39.6,0.00,0.00,3,23,7.67,0,1,11,11.00,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
93,2011,1,2011-09-11,28-094,CLE,,CIN,L 17-27,1,-3,-3.00,0,3,1,13,13.00,0,0,0,,0,0,0,,,,3,91,30.33,0,6,58,9.67,0,0,0,0.0,0,0
94,2011,2,2011-09-18,28-101,CLE,@,IND,W 27-19,0,0,,0,3,3,41,13.67,0,0,0,,0,0,0,,,,2,80,40.00,0,2,52,26.00,0,0,0,0.0,0,0
95,2011,3,2011-09-25,28-108,CLE,,MIA,W 17-16,0,0,,0,6,3,49,16.33,1,0,0,,0,0,0,,,,0,0,,0,0,0,,0,1,6,0.0,1,0
96,2011,4,2011-10-02,28-115,CLE,,TEN,L 13-31,0,0,,0,8,5,50,10.00,0,0,0,,0,0,0,,,,2,28,14.00,0,2,18,9.00,0,0,0,0.0,0,0
97,2011,5,2011-10-16,28-129,CLE,@,OAK,L 17-24,0,0,,0,5,2,30,15.00,0,0,0,,0,0,0,,,,3,53,17.67,0,2,30,15.00,0,0,0,0.0,0,0
98,2011,6,2011-10-23,28-136,CLE,,SEA,W 6-3,0,0,,0,6,1,9,9.00,0,0,0,,0,0,0,,,,1,23,23.00,0,4,14,3.50,0,0,0,0.0,0,0
99,2011,7,2011-10-30,28-143,CLE,@,SFO,L 10-20,0,0,,0,3,2,56,28.00,1,0,0,,0,0,0,,,,4,102,25.50,0,3,34,11.33,0,1,6,0.0,0,1
100,2011,8,2011-11-06,28-150,CLE,@,HOU,L 12-30,0,0,,0,5,5,50,10.00,1,0,0,,0,0,0,,,,2,94,47.00,0,1,3,3.00,0,1,6,0.0,0,1
101,2011,9,2011-11-13,28-157,CLE,,STL,L 12-13,3,21,7.00,0,5,3,32,10.67,0,0,0,,0,0,0,,,,1,27,27.00,0,2,6,3.00,0,0,0,0.0,0,0
102,2011,10,2011-11-20,28-164,CLE,,JAX,W 14-10,1,2,2.00,0,3,3,20,6.67,1,0,0,,0,0,0,,,,2,63,31.50,0,1,0,0.00,0,1,6,0.0,0,0
103,2011,11,2011-11-27,28-171,CLE,@,CIN,L 20-23,1,2,2.00,0,4,1,8,8.00,0,0,0,,0,0,0,,,,5,109,21.80,0,3,18,6.00,0,0,0,0.0,0,2
104,2011,12,2011-12-04,28-178,CLE,,BAL,L 10-24,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,4,95,23.75,0,1,9,9.00,0,0,0,0.0,0,1
105,2011,13,2011-12-08,28-182,CLE,@,PIT,L 3-14,1,3,3.00,0,2,2,38,19.00,0,0,0,,0,0,0,,,,1,22,22.00,0,0,0,,0,0,0,0.0,0,0
106,2011,14,2011-12-18,28-192,CLE,@,ARI,L 17-20,0,0,,0,1,1,3,3.00,0,0,0,,0,0,0,,,,2,51,25.50,0,3,40,13.33,0,0,0,0.0,0,0
107,2011,15,2011-12-24,28-198,CLE,@,BAL,L 14-20,0,0,,0,3,2,28,14.00,0,0,0,,0,0,0,,,,5,113,22.60,0,1,84,84.00,1,0,6,0.0,0,0
108,2011,16,2012-01-01,28-206,CLE,,PIT,L 9-13,0,0,,0,10,7,91,13.00,0,0,0,,0,0,0,,,,2,23,11.50,0,3,22,7.33,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Sk,Tkl,Ast
109,2012,1,2012-09-09,29-092,CLE,,PHI,L 16-17,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,3,91,30.33,0,6,78,13.00,0,0,0,0.0,0,0
110,2012,2,2012-09-16,29-099,CLE,@,CIN,L 27-34,0,0,,0,2,1,4,4.00,0,0,0,,0,0,0,,,,6,165,27.50,0,1,9,9.00,0,0,0,0.0,0,0
111,2012,3,2012-09-23,29-106,CLE,,BUF,L 14-24,0,0,,0,1,1,24,24.00,0,0,0,,0,0,0,,,,3,85,28.33,0,3,43,14.33,0,0,0,0.0,0,0
112,2012,4,2012-09-27,29-110,CLE,@,BAL,L 16-23,0,0,,0,2,2,11,5.50,0,0,0,,0,0,0,,,,0,0,,0,1,14,14.00,0,0,0,0.0,0,0
113,2012,5,2012-10-07,29-120,CLE,@,NYG,L 27-41,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,,6,221,36.83,0,1,12,12.00,0,0,0,0.0,0,0
