
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
1,2012,1,2012-09-09,22-208,CHI,,IND,W 41-21,5,3,80,26.67,1,0,0,,0,,1,6,0.0,0,0
2,2012,2,2012-09-13,22-212,CHI,@,GNB,L 10-23,2,1,7,7.00,0,0,0,,0,,0,0,0.0,0,0
3,2012,3,2012-09-23,22-222,CHI,,STL,W 23-6,7,5,45,9.00,0,0,0,,0,,0,0,0.0,0,0
4,2012,4,2012-10-01,22-230,CHI,@,DAL,W 34-18,5,3,32,10.67,0,0,0,,0,,0,0,0.0,0,0
5,2012,5,2012-10-07,22-236,CHI,@,JAX,W 41-3,4,2,20,10.00,1,0,0,,0,,1,6,0.0,0,0
6,2012,10,2012-11-19,22-279,CHI,@,SFO,L 7-32,4,2,15,7.50,0,0,0,,0,,0,0,0.0,0,0
7,2012,13,2012-12-09,22-299,CHI,@,MIN,L 14-21,6,3,57,19.00,1,0,0,,0,,1,6,0.0,0,0
8,2012,14,2012-12-16,22-306,CHI,,GNB,L 13-21,4,0,0,,0,0,0,,0,,0,0,0.0,0,0
9,2012,15,2012-12-23,22-313,CHI,@,ARI,W 28-13,4,1,35,35.00,0,0,0,,0,,0,0,0.0,0,0
10,2012,16,2012-12-30,22-320,CHI,@,DET,W 26-24,7,4,76,19.00,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Tkl,Ast
11,2013,1,2013-09-08,23-206,CHI,,CIN,W 24-21,8,5,42,8.40,0,0,0,,0,,0,0,0.0,0,0
12,2013,2,2013-09-15,23-213,CHI,,MIN,W 31-30,5,1,11,11.00,0,2,30,15.00,0,,0,0,0.0,0,0
13,2013,3,2013-09-22,23-220,CHI,@,PIT,W 40-23,8,7,51,7.29,0,0,0,,0,,0,0,0.0,0,0
14,2013,4,2013-09-29,23-227,CHI,@,DET,L 32-40,11,5,107,21.40,1,1,27,27.00,0,1,1,8,0.0,2,0
15,2013,5,2013-10-06,23-234,CHI,,NOR,L 18-26,13,10,218,21.80,1,0,0,,0,,1,6,0.0,1,0
16,2013,6,2013-10-10,23-238,CHI,,NYG,W 27-21,5,1,27,27.00,0,1,15,15.00,0,,0,0,0.0,0,0
17,2013,7,2013-10-20,23-248,CHI,@,WAS,L 41-45,7,4,105,26.25,0,2,16,8.00,0,,0,0,0.0,0,0
18,2013,8,2013-11-04,23-263,CHI,@,GNB,W 27-20,9,5,60,12.00,1,1,1,1.00,0,,1,6,0.0,0,0
19,2013,9,2013-11-10,23-269,CHI,,DET,L 19-21,18,9,114,12.67,0,2,5,2.50,0,,0,0,0.0,0,0
20,2013,10,2013-11-17,23-276,CHI,,BAL,W 23-20,10,7,83,11.86,0,3,17,5.67,0,,0,0,0.0,0,0
21,2013,11,2013-11-24,23-283,CHI,@,STL,L 21-42,8,4,42,10.50,0,1,4,4.00,0,,0,0,0.0,1,0
22,2013,12,2013-12-01,23-290,CHI,@,MIN,L 20-23,15,12,249,20.75,2,1,0,0.00,0,,2,12,0.0,0,0
